date,ncumul_tested,ncumul_conf
2020-02-13,5,0
2020-02-15,1,0
2020-02-16,2,0
2020-02-19,1,0
2020-02-20,1,0
2020-02-22,5,0
2020-02-23,3,0
2020-02-25,2,0
2020-02-26,2,0
2020-02-27,5,0
2020-02-28,7,0
2020-02-29,6,0
2020-03-01,12,0
2020-03-03,17,0
2020-03-04,6,0
2020-03-05,29,0
2020-03-06,38,0
2020-03-07,41,0
2020-03-08,35,0
2020-03-09,13,0
2020-03-10,104,0
2020-03-11,195,0
2020-03-12,300,2
2020-03-13,418,0
2020-03-14,346,0
2020-03-15,267,0
2020-03-16,412,0
2020-03-17,543,9
2020-03-18,451,4
2020-03-19,263,1
2020-03-20,178,0
2020-03-21,269,1
2020-03-22,264,2
2020-03-23,278,3
2020-03-24,352,0
2020-03-25,734,14
2020-03-26,606,13
2020-03-27,917,17
2020-03-28,209,9
2020-03-29,1207,12
2020-03-30,378,19
2020-03-31,1110,13
2020-04-01,1294,43
2020-04-02,626,17
2020-04-03,567,10
2020-04-04,488,8
2020-04-05,458,3
2020-04-06,778,12
2020-04-07,477,3
2020-04-08,550,2
2020-04-09,962,9
2020-04-10,174,8
2020-04-11,849,0
2020-04-12,32,1
2020-04-13,365,0
2020-04-14,303,1
2020-04-15,448,2
2020-04-16,507,3
2020-04-17,340,2
2020-04-18,570,1
2020-04-19,257,0
2020-04-20,314,0
2020-04-21,425,5
2020-04-22,324,0
2020-04-23,786,4
2020-04-24,434,5
2020-04-25,341,0
2020-04-26,372,0
2020-04-27,321,1
2020-04-28,354,2
2020-04-29,309,1
2020-04-30,500,3
2020-05-01,686,0
2020-05-02,457,1
2020-05-03,395,0
2020-05-04,333,1
2020-05-05,452,2
2020-05-06,527,1
2020-05-07,452,0
2020-05-08,420,0
2020-05-09,473,2
2020-05-10,283,2
2020-05-11,335,0
2020-05-12,401,0
2020-05-13,305,0
2020-05-14,502,0
2020-05-15,660,1
2020-05-16,585,0
2020-05-17,449,0
2020-05-18,316,0
2020-05-19,258,0
2020-05-20,347,0
2020-05-21,623,0
2020-05-22,465,0
2020-05-23,610,0
2020-05-24,375,0
2020-05-25,385,2
2020-05-26,785,0
2020-05-27,516,0
2020-05-28,962,0
2020-05-29,582,0
2020-05-30,820,0
2020-05-31,686,0
2020-06-01,285,3
2020-06-02,583,1
2020-06-03,791,2
2020-06-04,505,0
2020-06-05,469,0
2020-06-06,1120,0
2020-06-07,370,0
2020-06-08,342,0
2020-06-09,546,0
2020-06-10,580,1
2020-06-11,699,1
2020-06-12,513,1
2020-06-13,691,0
2020-06-14,724,0
2020-06-15,154,0
2020-06-16,300,0
2020-06-17,467,1
2020-06-18,576,3
2020-06-19,561,0
2020-06-20,725,0
2020-06-21,401,0
2020-06-22,137,0
2020-06-23,385,0
2020-06-24,396,0
2020-06-25,486,0
2020-06-26,605,2
2020-06-27,891,1
2020-06-28,406,1
2020-06-29,253,0
2020-06-30,506,0
2020-07-01,512,0
2020-07-02,640,0
2020-07-03,293,0
2020-07-04,687,0
2020-07-05,797,0
2020-07-06,290,0
2020-07-07,665,0
2020-07-08,394,0
2020-07-09,932,0
2020-07-10,799,0
2020-07-11,1102,0
2020-07-12,573,4
2020-07-13,305,1
2020-07-14,506,0
2020-07-15,736,1
2020-07-16,841,5
2020-07-17,700,1
2020-07-18,1438,5
2020-07-19,636,13
2020-07-20,1211,9
2020-07-21,751,7
2020-07-22,1278,6
2020-07-23,1654,6
2020-07-24,1416,4
2020-07-25,1606,7
2020-07-26,836,4
2020-07-27,738,5
2020-07-28,670,1
2020-07-29,1184,3
2020-07-30,1075,5
2020-07-31,1864,4
2020-08-01,1365,14
2020-08-02,1108,5
